elec_type,year,paila
BBT,1990,6
BBT,1991,10
BBT,1992,1
BBT,1993,14
BBT,1994,92
BBT,1995,94
BBT,1996,121
BBT,1997,140
BBT,1998,137
BBT,1999,131
BBT,2000,123
BBT,2001,143
BBT,2002,147
BBT,2003,101
BBT,2004,123
BBT,2005,115
BBT,2006,115
BBT,2007,114
BBT,2008,128
BBT,2009,116
BBT,2010,126
BBT,2011,133
BBT,2012,115
BBT,2013,109
BBT,2014,84
BBT,2015,85
BC,1990,0
BC,1991,3
BC,1992,2
BC,1993,3
BC,1994,16
BC,1995,17
BC,1996,26
BC,1997,37
BC,1998,54
BC,1999,46
BC,2000,30
BC,2001,38
BC,2002,28
BC,2003,36
BC,2004,36
BC,2005,42
BC,2006,32
BC,2007,40
BC,2008,56
BC,2009,57
BC,2010,58
BC,2011,58
BC,2012,44
BC,2013,54
BC,2014,44
BC,2015,47
